image number;Distance (R);Z score-3 (R);Z score-5 (R);Z score-7 (R);Probability (R);Distance (L);Z score-3 (L);Z score-5 (L);Z score-7 (L);Probability (L);Orientation;Z score-3 (F);Z score-5 (F);Z score-7 (F);Probability (F)
1225;1.169;-1.4142157;-0.07370719;0.46577707;4;0;0;0;0;0;0;0;0;0;0
1226;1.0450001;-1.3733606;-1.9393151;-0.3610966;4;0;0;0;0;0;0;0;0;0;0
1227;1.133;0.3327857;-0.33253607;-0.24997436;4;0;0;0;0;0;0;0;0;0;0
1228;1.0250001;-0.909471;-1.286043;-1.6109186;4;0;0;0;0;0;0;0;0;0;0
1229;1.2110001;1.153907;1.3233399;0.92019314;4;0;0;0;0;0;0;0;0;0;0
1230;1.1680001;0.4192435;0.72483486;0.44192111;4;0;0;0;0;0;0;0;0;0;0
1231;1.172;-0.60148406;0.47623414;0.6181073;4;0;0;0;0;0;0;0;0;0;0
1232;1.2110001;1.409195;0.7801594;1.0470855;4;0;0;0;0;0;0;0;0;0;0
1233;1.039;-1.3807533;-1.9139099;-1.3799872;4;0;0;0;0;0;0;0;0;0;0
1234;1.0250001;-0.78825647;-1.2905904;-1.1891779;4;0;0;0;0;0;0;0;0;0;0
1235;1.1350001;1.4045166;0.2543848;-0.03219211;4;0;0;0;0;0;0;0;0;0;0
1236;1.138;0.7354442;0.41098782;0.17283717;4;0;0;0;0;0;0;0;0;0;0
1237;1.065;-1.4132808;-0.3236677;-0.7235903;4;0;0;0;0;0;0;0;0;0;0
1238;1.172;1.0528854;1.2087706;0.9187401;4;0;0;0;0;0;0;0;0;0;0
1239;1.171;0.697124;0.89455575;1.1222061;4;0;0;0;0;0;0;0;0;0;0
1240;1.171;-0.7070225;0.6687235;0.8486958;4;0;0;0;0;0;0;0;0;0;0
1241;1.171;nan;0.49409798;0.6820759;4;0;0;0;0;0;0;0;0;0;0
1242;1.169;-1.4142557;-1.8370535;0.48783773;4;0;0;0;0;0;0;0;0;0;0
1243;1.172;1.0690587;1.2248241;0.4350756;4;0;0;0;0;0;0;0;0;0;0
1244;1.172;0.7071349;0.9129072;0.86610925;4;0;0;0;0;0;0;0;0;0;0
1245;1.2060001;1.4142137;1.9939021;2.4425237;4;0;0;0;0;0;0;0;0;0;0
1246;1.205;0.67521566;1.1924515;1.5460963;4;0;0;0;0;0;0;0;0;0;0
1247;1.2110001;1.3969848;1.0213078;1.3506993;4;0;0;0;0;0;0;0;0;0;0
1248;1.225;1.3524368;1.2163873;1.4577742;4;0;0;0;0;0;0;0;0;0;0
1249;1.245;1.2901047;1.7622498;1.6242917;4;0;0;0;0;0;0;0;0;0;0
1250;1.2570001;1.1111667;1.4361795;1.5208317;4;0;0;0;0;0;0;0;0;0;0
1251;1.2950001;1.3763499;1.6725144;1.9585425;4;0;0;0;0;0;0;0;0;0;0
1252;1.296;0.73447084;1.157852;1.3981038;4;0;0;0;0;0;0;0;0;0;0
1253;1.3240001;1.4135611;1.4155377;1.5439364;4;0;0;0;0;0;0;0;0;0;0
1254;1.01;-1.4096164;-1.9654847;-2.3179443;4;0;0;0;0;0;0;0;0;0;0
1255;1.0990001;-0.3430782;-0.83745444;-1.093341;4;0;0;0;0;0;0;0;0;0;0
1256;1.008;-0.7305414;-1.0170944;-1.3551123;4;0;0;0;0;0;0;0;0;0;0
1257;1.01;-0.68341035;-0.657639;-1.0014709;4;0;0;0;0;0;0;0;0;0;0
1258;1.107;1.4139936;1.3097596;-0.11970404;4;0;0;0;0;0;0;0;0;0;0
1259;1.0250001;-0.52385193;-0.5648383;-0.55018777;4;0;0;0;0;0;0;0;0;0;0
1260;1.0250001;-0.7071057;-0.27240437;-0.3885579;4;0;0;0;0;0;0;0;0;0;0
1261;1.01;-1.4142191;-0.69736165;-0.76286703;4;0;0;0;0;0;0;0;0;0;0
1262;1.0070001;-0.88899475;-0.7542322;-0.61411995;4;0;0;0;0;0;0;0;0;0;0
1263;1.07;1.4129534;1.8881338;0.9601119;4;0;0;0;0;0;0;0;0;0;0
1264;0.809;-1.3758684;-1.9369638;-2.2644506;4;0;0;0;0;0;0;0;0;0;0
1265;0.77500004;-0.8321733;-1.3406417;-1.7076392;4;0;0;0;0;0;0;0;0;0;0
1266;0.791;-0.048002377;-0.80796903;-1.1419637;4;0;0;0;0;0;0;0;0;0;0
1267;0.86600006;1.3949077;0.035071235;-0.33647645;4;0;0;0;0;0;0;0;0;0;0
1268;0.73;-1.1806358;-1.4446281;-1.1376257;4;0;0;0;0;0;0;0;0;0;0
